Identifiers	mean	sd	median	minimum	maximum	n	Mean/StdDev	CV	MFC
TRMT5	10.95	0.73	11.01	4.53	13.31	13629	15	6.67	2.94
CCT4	11.05	0.74	11.05	7.35	13.9	13629	14.98	6.67	1.89
PSMB2	9.37	0.63	9.39	6.26	11.49	13629	14.98	6.68	1.84
ASXL1	7.74	0.52	7.68	4.09	10.97	13629	14.98	6.68	2.68
AG1	10.08	0.67	10.1	5.12	12.5	13629	14.96	6.68	2.44
SFRS8	7.4	0.49	7.34	5.04	10.6	13629	14.96	6.68	2.11
TXNDC14	9.33	0.62	9.37	4.45	11.69	13629	14.95	6.69	2.62
RPL26	11.06	0.74	11.13	4.61	13.2	13629	14.94	6.69	2.86
FLJ14154	8.71	0.58	8.74	6.75	11.25	13629	14.94	6.69	1.67
GTF3A	10.57	0.71	10.56	7.39	13.51	13629	14.94	6.69	1.83
ZA20D2	10.19	0.68	10.2	6.15	12.92	13629	14.92	6.7	2.1
USP9X	9.13	0.61	9.16	2.04	11.63	13629	14.92	6.7	5.71
ERBP	9.09	0.61	9.08	5.13	12.03	13629	14.92	6.7	2.35
RNASEH1	8.06	0.54	8.08	4.36	10.29	13629	14.92	6.7	2.36
HDAC3	8.34	0.56	8.32	5.52	10.29	13629	14.91	6.71	1.87
NDUFB2	10.23	0.69	10.26	6.94	12.53	13629	14.91	6.71	1.81
USP7	8.71	0.58	8.72	6.08	11.14	13629	14.9	6.71	1.83
TDE1	9.39	0.63	9.42	6.3	11.73	13629	14.9	6.71	1.86
UBE4A	9.37	0.63	9.41	3.51	12.82	13629	14.89	6.71	3.65
MRP63	9.53	0.64	9.53	7.13	12.48	13629	14.88	6.72	1.75
MLX	8.02	0.54	8.03	5.35	11.63	13629	14.88	6.72	2.17
NDUFB8	9.56	0.64	9.55	6.81	12.43	13629	14.88	6.72	1.83
TRAPPC4	8.81	0.59	8.81	5.77	11.75	13629	14.88	6.72	2.04
FLJ20719	10.31	0.69	10.34	6.43	12.75	13629	14.86	6.73	1.98
WDR73	7.91	0.53	7.89	4	10.21	13629	14.86	6.73	2.56
C20orf116	8.61	0.58	8.64	2.76	11.23	13629	14.84	6.74	4.07
RNF34	8.77	0.59	8.79	2.29	11.4	13629	14.83	6.74	4.97
CDC16	8.71	0.59	8.72	4.84	11.88	13629	14.82	6.75	2.45
ACTR3	10.67	0.72	10.76	7.38	12.91	13629	14.82	6.75	1.75
NCBP2	8.04	0.54	8.04	5.4	10.9	13629	14.82	6.75	2.02
KIAA0157	7.47	0.5	7.43	2.8	10.7	13629	14.82	6.75	3.82
SFRS3	9.93	0.67	9.94	6.68	12.12	13629	14.81	6.75	1.81
FAM96B	9.49	0.64	9.52	6.4	12.27	13629	14.81	6.75	1.92
CUEDC2	9.19	0.62	9.21	5	11.74	13629	14.81	6.75	2.35
AQR	7.46	0.5	7.48	4.7	9.45	13629	14.8	6.76	2.01
ANP32B	10.8	0.73	10.82	8.02	13.1	13629	14.79	6.76	1.63
MAT2B	10.01	0.68	10	7.05	13.51	13629	14.78	6.77	1.92
ARL10C	9.96	0.67	9.92	5.45	13.16	13629	14.77	6.77	2.41
DNAJB12	7.01	0.47	7.05	4.5	10.27	13629	14.77	6.77	2.28
TMED10	10.15	0.69	10.21	5	12.65	13629	14.76	6.78	2.53
TGOLN2	8.8	0.6	8.82	6.57	10.66	13629	14.76	6.78	1.62
GCN1L1	7.9	0.54	7.91	5.38	10.35	13629	14.76	6.78	1.92
PWP1	8.65	0.59	8.68	5.78	11.61	13629	14.75	6.78	2.01
RTN4	11.27	0.76	11.28	7.65	13.82	13629	14.75	6.78	1.81
PEX10	6.92	0.47	6.95	3.98	9.28	13629	14.75	6.78	2.33
ZNF262	7.69	0.52	7.69	4.87	10.28	13629	14.75	6.78	2.11
SRP19	9.36	0.63	9.38	2.39	12.48	13629	14.74	6.78	5.22
TLK2	7.85	0.53	7.79	5.24	10.57	13629	14.73	6.79	2.02
RBMX	9.99	0.68	9.98	6.17	12.13	13629	14.72	6.79	1.97
UQCRC2	9.93	0.67	9.93	6.07	12.63	13629	14.72	6.79	2.08
PEX16	7.57	0.51	7.51	5.63	10.13	13629	14.72	6.79	1.8
TRIM44	8.71	0.59	8.73	4.3	12.14	13629	14.71	6.8	2.83
GAPVD1	7.76	0.53	7.78	5.27	10.45	13629	14.71	6.8	1.98
CASP9	7.57	0.52	7.54	5.7	10.96	13629	14.7	6.8	1.92
PTD004	10.25	0.7	10.29	6.6	12.6	13629	14.7	6.8	1.91
TCEA1	10.18	0.69	10.24	3.05	13.2	13629	14.68	6.81	4.32
ABCF1	9.13	0.62	9.17	5.9	11.43	13629	14.67	6.82	1.94
THAP4	7.96	0.54	7.96	3.5	10.99	13629	14.65	6.82	3.14
TCF20	7.51	0.51	7.47	5.51	9.95	13629	14.65	6.82	1.81
GLTSCR2	11.79	0.81	11.87	6.35	14.03	13629	14.64	6.83	2.21
POLR2G	9.9	0.68	9.94	4.98	12.32	13629	14.61	6.84	2.47
PSMC5	9.81	0.67	9.79	2.87	12.71	13629	14.61	6.85	4.43
CTDSP2	9.18	0.63	9.22	6.64	12.18	13629	14.6	6.85	1.84
SIAHBP1	9.64	0.66	9.63	5.98	12.14	13629	14.59	6.86	2.03
DAD1	10.13	0.69	10.18	4.51	12.63	13629	14.58	6.86	2.8
YT521	9.86	0.68	9.89	5.15	12.35	13629	14.57	6.86	2.4
SEC24C	8.5	0.58	8.5	3.22	11.78	13629	14.57	6.86	3.66
LRRC47	9.4	0.65	9.44	2.08	11.62	13629	14.57	6.86	5.58
PRKAR2A	8.39	0.58	8.39	5.82	11.39	13629	14.56	6.87	1.96
RAF1	9.08	0.62	9.08	5.68	12.23	13629	14.56	6.87	2.15
PGAM1	11.14	0.76	11.14	6.52	13.22	13629	14.56	6.87	2.03
HADHA	8.99	0.62	9	4.6	11.01	13629	14.54	6.88	2.4
AMZ2	9.31	0.64	9.35	5.1	12.56	13629	14.54	6.88	2.46
TJAP1	7.64	0.53	7.62	4.94	10.46	13629	14.53	6.88	2.12
IDH3B	8.87	0.61	8.85	6.28	11.56	13629	14.53	6.88	1.84
TMEM9B	9.12	0.63	9.13	3.85	11.9	13629	14.52	6.89	3.09
NIPA2	9.45	0.65	9.44	3.42	11.91	13629	14.51	6.89	3.49
FLJ12529	9	0.62	9.05	4.34	11.34	13629	14.5	6.9	2.62
RNF4	9	0.62	9.03	3.67	12.23	13629	14.5	6.9	3.34
ARL6IP4	8.58	0.59	8.59	4.1	11.51	13629	14.49	6.9	2.81
ARIH1	7.79	0.54	7.79	5.49	11.3	13629	14.49	6.9	2.06
GCC1	7.69	0.53	7.69	3.51	10.04	13629	14.48	6.9	2.86
SPCS2	10.43	0.72	10.4	7.18	13.09	13629	14.48	6.9	1.82
TI-227H	9.13	0.63	9.17	5.21	11.67	13629	14.47	6.91	2.24
ATP5J2	10.8	0.75	10.91	4.75	12.95	13629	14.47	6.91	2.72
FAM61A	8.69	0.6	8.63	6.28	11.9	13629	14.47	6.91	1.89
COX8A	11.08	0.77	11.15	5.95	13.18	13629	14.45	6.92	2.21
RBMX2	7.15	0.5	7.17	4.86	9.97	13629	14.45	6.92	2.05
NDUFV1	9.72	0.67	9.72	4.79	12.63	13629	14.45	6.92	2.63
ZNF403	8.77	0.61	8.78	4.16	11.57	13629	14.44	6.93	2.78
RPL11	12.09	0.84	12.29	2.38	13.82	13629	14.43	6.93	5.81
ADAR	10.4	0.72	10.39	7.28	13.01	13629	14.43	6.93	1.79
ATP5G3	10.75	0.75	10.77	2.66	13.18	13629	14.42	6.94	4.96
LAPTM4A	11.1	0.77	11.2	5.41	13.18	13629	14.42	6.94	2.44
NCOA6	8.62	0.6	8.61	5.86	11.61	13629	14.42	6.94	1.98
TOR1A	7.99	0.55	8	4.4	10.2	13629	14.42	6.94	2.32
ACTR1B	8.57	0.59	8.56	4.36	11.03	13629	14.41	6.94	2.53
ATP6V1G1	10.33	0.72	10.35	6.08	12.83	13629	14.41	6.94	2.11
ZNF410	8.75	0.61	8.75	6.16	11.26	13629	14.41	6.94	1.83
UBE2E1	10.19	0.71	10.22	2	12.78	13629	14.4	6.94	6.39
VTI1B	9.36	0.65	9.4	4.42	11.85	13629	14.4	6.95	2.68
FARS2	6.74	0.47	6.74	3.72	9.38	13629	14.39	6.95	2.52
CPSF3L	8.37	0.58	8.36	4.83	10.97	13629	14.39	6.95	2.27
MAP3K7	7.62	0.53	7.64	4.11	9.92	13629	14.39	6.95	2.42
C6orf82	10.51	0.73	10.46	6.68	13.47	13629	14.38	6.95	2.02
ZDHHC6	8.52	0.59	8.54	5.06	10.75	13629	14.36	6.96	2.12
NDUFB4	10.99	0.77	11.08	5.79	13.14	13629	14.35	6.97	2.27
PMPCB	9.45	0.66	9.5	3.34	11.93	13629	14.35	6.97	3.57
FTL	11.83	0.82	11.98	7.84	13.9	13629	14.35	6.97	1.77
ANKRD17	7.49	0.52	7.45	4.55	11.68	13629	14.34	6.98	2.57
GPR107	6.62	0.46	6.64	4.41	8.79	13629	14.34	6.98	1.99
OSBPL9	9.21	0.64	9.25	3.79	11.93	13629	14.34	6.98	3.15
FBXO34	8.59	0.6	8.59	4.59	10.98	13629	14.33	6.98	2.39
EXOC7	7.01	0.49	7.06	4.23	10.19	13629	14.32	6.98	2.41
WDR48	7.6	0.53	7.54	5.47	10.04	13629	14.32	6.98	1.84
MYL6	10.72	0.75	10.84	7.28	13.14	13629	14.32	6.98	1.81
FLJ20643	8.81	0.62	8.86	3.49	11.1	13629	14.32	6.98	3.18
EIF2S1	8.58	0.6	8.56	6.24	10.83	13629	14.32	6.99	1.74
C15orf24	9.39	0.66	9.35	5.35	12.33	13629	14.31	6.99	2.3
IK	8.99	0.63	8.99	4.66	11.88	13629	14.31	6.99	2.55
AURKAIP1	9.62	0.67	9.65	5.43	12.24	13629	14.31	6.99	2.26
SDHA	9.55	0.67	9.46	6.9	12.15	13629	14.29	7	1.76
C14orf120	8.49	0.59	8.5	2.54	11.12	13629	14.29	7	4.38
OS9	9.64	0.68	9.67	6.06	12.96	13629	14.28	7	2.14
PIK3C3	7.23	0.51	7.22	3.57	11.31	13629	14.27	7.01	3.17
SUPT5H	8.37	0.59	8.35	4.68	11.71	13629	14.27	7.01	2.5
STX8	8.37	0.59	8.38	4.5	12.01	13629	14.26	7.01	2.67
NOL7	9.09	0.64	9.1	5.84	11.86	13629	14.25	7.02	2.03
N-PAC	7.18	0.5	7.18	4.21	9.57	13629	14.25	7.02	2.27
SRP9	10.95	0.77	11.03	5.74	13.24	13629	14.25	7.02	2.31
C10orf7	9.15	0.64	9.13	6.12	12.33	13629	14.24	7.02	2.01
RING1	8.58	0.6	8.53	6.15	10.88	13629	14.24	7.02	1.77
SERBP1	9.95	0.7	9.99	7.02	12.37	13629	14.24	7.02	1.76
PNRC2	10.13	0.71	10.17	5.99	12.54	13629	14.24	7.02	2.09
BSDC1	7.83	0.55	7.81	4.8	10.46	13629	14.23	7.03	2.18
KIAA0652	7.88	0.55	7.85	5.53	9.98	13629	14.22	7.03	1.81
MAPRE1	9.64	0.68	9.68	6.65	12.04	13629	14.22	7.03	1.81
HNRPA0	9.07	0.64	9.08	5.98	11.33	13629	14.21	7.04	1.89
UBAP2L	7.9	0.56	7.87	5.63	10.26	13629	14.21	7.04	1.82
WAC	8.94	0.63	8.95	5.27	11.55	13629	14.18	7.05	2.19
OSBP	8.15	0.58	8.15	5.37	10.35	13629	14.17	7.06	1.93
CIAPIN1	8.26	0.58	8.25	5.5	11.1	13629	14.17	7.06	2.02
COPS4	9.07	0.64	9.11	4.02	11.46	13629	14.17	7.06	2.85
ESD	10.03	0.71	10.12	4.86	12.4	13629	14.16	7.06	2.55
HSPC152	10.49	0.74	10.56	5.14	13.05	13629	14.16	7.06	2.54
GOSR1	7.9	0.56	7.88	4.76	11.61	13629	14.16	7.06	2.44
SNRPB2	9.76	0.69	9.74	6.08	13.09	13629	14.15	7.07	2.15
EIF2B4	8.38	0.59	8.43	3.78	10.61	13629	14.14	7.07	2.81
MUS81	7.97	0.56	7.98	3.17	11.43	13629	14.14	7.07	3.61
RPP30	8.25	0.58	8.23	5.29	10.45	13629	14.13	7.08	1.98
PABPN1	9.13	0.65	9.14	6.22	11.88	13629	14.13	7.08	1.91
GABARAPL2	10.33	0.73	10.28	6.44	13.05	13629	14.13	7.08	2.03
NDUFA9	9.35	0.66	9.32	5.01	12.7	13629	14.13	7.08	2.54
DDX46	8.95	0.63	8.99	3.09	11.08	13629	14.12	7.08	3.59
JMJD1B	8.65	0.61	8.69	5.59	12.92	13629	14.12	7.08	2.31
CXorf40A	8.52	0.6	8.46	5.94	11.69	13629	14.12	7.08	1.97
SF3B5	9.79	0.69	9.86	4.15	13.02	13629	14.11	7.09	3.14
RPL36	11.22	0.8	11.33	7.84	14.03	13629	14.1	7.09	1.79
XPNPEP1	8.31	0.59	8.28	4.54	10.89	13629	14.1	7.09	2.4
RFP	8.12	0.58	8.16	3.71	10.44	13629	14.09	7.1	2.81
ARL5	9.33	0.66	9.38	4.9	12.04	13629	14.09	7.1	2.46
TTC19	9.1	0.65	9.1	5.18	11.68	13629	14.08	7.1	2.25
RBPSUH	9.3	0.66	9.29	6.36	12.43	13629	14.08	7.1	1.95
MRPL18	9.21	0.65	9.26	4.33	11.56	13629	14.07	7.11	2.67
GPX4	10.4	0.74	10.42	2.63	13.37	13629	14.07	7.11	5.08
AP3S2	7.74	0.55	7.71	5.55	10.79	13629	14.06	7.11	1.95
SDF2	8.02	0.57	8.06	3.54	11.7	13629	14.06	7.11	3.31
ZNF706	10.1	0.72	10.08	5.58	12.56	13629	14.05	7.12	2.25
C7orf28A	8.9	0.63	8.99	6.29	11.69	13629	14.05	7.12	1.86
FAM21C	8.98	0.64	8.99	5.74	12.34	13629	14.05	7.12	2.15
DNAJC8	7.99	0.57	8	5.56	10.25	13629	14.04	7.12	1.84
EIF2C1	7.76	0.55	7.75	3.32	10.86	13629	14.04	7.12	3.27
NDUFB1	10.56	0.75	10.65	6.72	12.88	13629	14.03	7.13	1.92
RAB2	8.31	0.59	8.34	5.91	11.43	13629	14.01	7.14	1.93
RSAFD1	8.01	0.57	8.04	3.97	10.2	13629	14.01	7.14	2.57
SFRS9	10.01	0.72	10.08	5.03	12.48	13629	14	7.14	2.48
FAM21B	8.64	0.62	8.61	6.03	11.76	13629	14	7.14	1.95
POM121	8.7	0.62	8.69	6.44	11.01	13629	13.99	7.15	1.71
NIT1	8.34	0.6	8.32	2.4	11.26	13629	13.98	7.15	4.69
C14orf133	7.86	0.56	7.88	2.8	10.07	13629	13.96	7.16	3.6
UBAP2	8.5	0.61	8.47	4.63	11.71	13629	13.96	7.16	2.53
FIBP	9.14	0.65	9.15	5.17	11.88	13629	13.96	7.16	2.3
RPP38	7.67	0.55	7.67	4.39	10.71	13629	13.95	7.17	2.44
EIF3S10	9	0.65	9.07	5.38	11.18	13629	13.95	7.17	2.08
PSMD7	9.15	0.66	9.17	3.36	11.84	13629	13.94	7.17	3.52
AKAP8	7.8	0.56	7.75	5.33	11.7	13629	13.94	7.18	2.2
WDR26	9.35	0.67	9.37	4.57	11.87	13629	13.93	7.18	2.6
RAB1A	9.83	0.71	9.93	6.13	11.61	13629	13.93	7.18	1.89
APEX1	10.1	0.73	10.1	4.64	13.2	13629	13.93	7.18	2.85
PTD008	9.7	0.7	9.78	2.94	12.17	13629	13.93	7.18	4.13
ZNF263	7.71	0.55	7.69	3.5	9.83	13629	13.93	7.18	2.81
UBE2V1	8.55	0.61	8.55	6.14	11.71	13629	13.92	7.18	1.91
RPS19	11.97	0.86	12.27	5.8	13.51	13629	13.92	7.18	2.33
ZNF434	6.84	0.49	6.87	4.17	9.19	13629	13.92	7.18	2.2
HT007	9.3	0.67	9.37	4.65	12.27	13629	13.92	7.18	2.64
YBX1	11.55	0.83	11.67	6.67	13.82	13629	13.92	7.19	2.07
TEX261	8.14	0.59	8.17	4.84	9.97	13629	13.91	7.19	2.06
NPM1	10.58	0.76	10.66	7.18	12.54	13629	13.91	7.19	1.75
GTF2A2	9.29	0.67	9.31	4.54	12.47	13629	13.9	7.19	2.75
KPNB1	9.29	0.67	9.28	6.7	11.23	13629	13.9	7.19	1.68
POP4	8.68	0.62	8.71	2.8	12.95	13629	13.9	7.2	4.62
PCBP1	10.63	0.77	10.72	5.19	13.2	13629	13.9	7.2	2.54
CRKL	7.96	0.57	7.97	4.74	10.51	13629	13.89	7.2	2.21
GPKOW	7.64	0.55	7.62	2.83	11.02	13629	13.88	7.2	3.89
CDC5L	7.93	0.57	7.95	5.71	11.74	13629	13.88	7.21	2.06
HSBP1	9.51	0.68	9.56	6.88	12.31	13629	13.88	7.21	1.79
LOC440434	8.27	0.6	8.26	4.4	11.57	13629	13.87	7.21	2.63
PTMA	11.36	0.82	11.5	7.54	13.47	13629	13.85	7.22	1.79
CSNK1D	8.46	0.61	8.43	4.18	11.61	13629	13.84	7.22	2.78
ATP6V1F	10.04	0.73	10.1	4.07	12.74	13629	13.84	7.22	3.13
SLC25A6	11.24	0.81	11.36	7.07	13.43	13629	13.83	7.23	1.9
ATG4B	7.59	0.55	7.56	4.5	10.2	13629	13.83	7.23	2.27
SMAD2	8.19	0.59	8.23	4.64	10.84	13629	13.83	7.23	2.33
C10orf61	8.34	0.6	8.35	5.54	11.55	13629	13.83	7.23	2.08
CHERP	7.84	0.57	7.83	5.55	10.72	13629	13.82	7.24	1.93
ASCIZ	7.96	0.58	7.98	4.52	10.26	13629	13.82	7.24	2.27
TMEM59	10.63	0.77	10.65	7.03	13.09	13629	13.82	7.24	1.86
SNF8	8.78	0.64	8.77	4.37	12.36	13629	13.81	7.24	2.83
UQCRH	11.03	0.8	11.08	6.01	13.28	13629	13.8	7.25	2.21
ARF4	10.28	0.74	10.31	6.1	12.74	13629	13.8	7.25	2.09
SH3GLB1	9.23	0.67	9.28	5.98	11.79	13629	13.8	7.25	1.97
MLH1	9.13	0.66	9.18	3.61	11.35	13629	13.8	7.25	3.14
CDIPT	9.92	0.72	9.85	6.92	13.1	13629	13.79	7.25	1.9
CLTA	9.41	0.68	9.5	5.9	11.81	13629	13.78	7.25	2
RER1	8.42	0.61	8.43	5.07	10.47	13629	13.78	7.25	2.06
C2orf28	10.04	0.73	10.14	4.45	12.63	13629	13.78	7.26	2.84
PCNP	9.78	0.71	9.86	5.18	12.75	13629	13.78	7.26	2.46
CHD4	8.56	0.62	8.58	4.78	11.72	13629	13.78	7.26	2.45
WIRE	8.37	0.61	8.33	4.94	12.5	13629	13.76	7.27	2.53
MDH2	9.54	0.69	9.52	6.29	12.01	13629	13.76	7.27	1.91
HNRPA3	9.11	0.66	9.13	5.75	11.43	13629	13.74	7.28	1.99
HMGN4	9.2	0.67	9.22	5.69	11.76	13629	13.73	7.28	2.07
EIF2B2	8.34	0.61	8.29	5.03	11.16	13629	13.73	7.28	2.22
SEC3L1	8.79	0.64	8.88	3.78	12.62	13629	13.72	7.29	3.34
ZDHHC3	7.23	0.53	7.2	4.51	10.36	13629	13.71	7.29	2.3
EIF2B5	7.85	0.57	7.85	4.25	11	13629	13.71	7.29	2.58
RUFY1	8.78	0.64	8.76	4.57	12.44	13629	13.7	7.3	2.72
PTDSS1	9.97	0.73	9.95	6.92	12.29	13629	13.69	7.3	1.77
TAF10	10.04	0.73	10.14	5.7	12.51	13629	13.69	7.31	2.19
SPAG7	9.11	0.67	9.12	6.38	11.21	13629	13.68	7.31	1.76
SSR2	10.46	0.76	10.54	7.42	12.87	13629	13.68	7.31	1.73
TIMM9	8.27	0.6	8.27	3.42	11.74	13629	13.68	7.31	3.43
STAMBP	8.31	0.61	8.31	2.7	11.5	13629	13.67	7.31	4.26
TAF7	9.52	0.7	9.56	5.6	11.75	13629	13.67	7.32	2.1
DNPEP	7.42	0.54	7.41	3.8	9.68	13629	13.67	7.32	2.55
NDUFAB1	10.82	0.79	10.88	7.49	13.47	13629	13.66	7.32	1.8
C14orf154	8.65	0.63	8.61	5.55	11.44	13629	13.64	7.33	2.06
UQCR	10.48	0.77	10.52	6.27	13.4	13629	13.63	7.34	2.14
ERAL1	7.73	0.57	7.73	3.99	11.12	13629	13.63	7.34	2.79
ALKBH	7.84	0.58	7.84	4.19	10.65	13629	13.62	7.34	2.54
PITPNA	8.02	0.59	8.04	4.64	10.33	13629	13.61	7.35	2.22
MGC2749	7.66	0.56	7.67	5.48	10.47	13629	13.61	7.35	1.91
RIC8A	8.88	0.65	8.9	3.2	11.32	13629	13.6	7.35	3.54
ACP1	8.79	0.65	8.78	5.44	12.17	13629	13.59	7.36	2.24
FNTA	9.46	0.7	9.51	5.91	12.62	13629	13.59	7.36	2.13
TOMM20	10	0.74	10.05	5.99	12.94	13629	13.58	7.36	2.16
KPNA1	7.36	0.54	7.31	4.9	10.01	13629	13.57	7.37	2.04
SLC25A5	11.47	0.85	11.56	6.65	14.03	13629	13.56	7.37	2.11
JMJD2A	7.39	0.55	7.35	4.64	9.92	13629	13.55	7.38	2.14
NDP52	9.16	0.68	9.17	2.94	12.45	13629	13.55	7.38	4.23
PCBP2	10.31	0.76	10.38	6.71	12.41	13629	13.55	7.38	1.85
LEREPO4	9.26	0.68	9.33	3.83	11.64	13629	13.54	7.39	3.04
ASH2L	8.92	0.66	8.9	4.37	12.65	13629	13.53	7.39	2.89
RPS14	11.4	0.84	11.64	7.7	13.14	13629	13.52	7.4	1.71
FAM82C	8.38	0.62	8.36	5.55	11.73	13629	13.52	7.4	2.11
SUB1	10.11	0.75	10.14	4.92	12.43	13629	13.52	7.4	2.53
PRPF8	9.55	0.71	9.61	3.09	11.94	13629	13.51	7.4	3.87
FLJ13448	8.47	0.63	8.47	4.36	11.1	13629	13.51	7.4	2.55
DDX48	9.93	0.74	9.92	5.43	14.03	13629	13.5	7.41	2.58
GRINL1A	7.7	0.57	7.68	5.32	10.36	13629	13.5	7.41	1.95
RP1-112K5.2	7.95	0.59	7.94	4.58	10.83	13629	13.49	7.41	2.37
COX6A1	11.54	0.86	11.65	7.01	13.9	13629	13.49	7.41	1.98
EXOSC7	7.62	0.56	7.57	4.08	10.47	13629	13.49	7.41	2.57
SLC25A36	8.98	0.67	9	5.73	11.46	13629	13.49	7.42	2
DCUN1D1	8.22	0.61	8.21	4.03	11.36	13629	13.49	7.42	2.82
CYCS	11.2	0.83	11.25	7.08	13.82	13629	13.47	7.42	1.95
ZNF638	9.16	0.68	9.19	5.43	11.59	13629	13.47	7.42	2.13
KIAA0586	6.68	0.5	6.7	3.86	9.1	13629	13.47	7.42	2.36
FLJ20758	8.41	0.62	8.41	3.68	10.97	13629	13.47	7.42	2.98
C1orf149	8.72	0.65	8.76	3.79	11.11	13629	13.47	7.43	2.93
